"ID","SOURCE","TRANSLATION","NOTES"
"1","Copperman Way","",""
"2","Wharf Street","",""
"3","Bizarre Boulevard","",""
"4","Risvold Street","",""
"5","Swan's Way","",""
"6","Saint's Boulevard","",""
"7","Revel Road","",""
"8","Dancer's Court","",""
"9","Redwind Road","",""
"10","Duskgate Road","",""
"11","Astoria Road","",""
"12","Eldor's End","",""
"13","Turtle Lane","",""
"14","Long Lane","",""
"15","Newt Street","",""
"16","Sitelow Road","",""
"17","Ritman Street","",""
"18","Julius Street","",""
"19","Tickson's Trail","",""
"20","Farrier's Court","",""
"21","Plaster Drive","",""
"22","Rumble Drive","",""
"23","Gray Dragon Lane","",""
"24","Thistlewind Way","",""
"25","Hedge Row","",""
"26","Hull Road","",""
"27","Festive Way","",""
"28","Crystal Dew Lane","","This lane is shown twice."
"29","Scholar Row","",""
"30","Rook Street","",""
"31","Tea Street","",""
"32","Sandstone Row","",""
"33","Pride Street","",""
"34","Stump Street","","This street is shown twice."
"35","Founder's Fence","",""
"36","Gouge Row","",""
"37","Shatterbone Street","",""
"38","Whisper Way","",""
"39","Two-Lamp Lane","",""
"40","Lot's Lane","",""
"41","Laughing Cat Alley","",""
"42","Black Boot Walk","",""
