"ID","SOURCE","TRANSLATION","NOTES"
"1","NOBLES' DISTRICT","",""
"2","FIRM GROUND","",""
"3","COURT DISTRICT","",""
"4","GRAYTOWERS DISTRICT","",""
"5","TEMPLE DISTRICT","",""
"6","SWORDHOLD","",""
"7","FOUNDRY DISTRICT","",""
"8","GURINCRAAG","","Another racial enclave. Loosely translated as «Dwarven Mountain»."
"9","GEAR STREET","",""
"10","LITTLE BYTOPIA","",""
"11","HELLGATE","","Baatezu neighborhood."
"12","SHATTERED TEMPLE DISTRICT","",""
"13","THE DITCH","",""
"14","CENTRAL DISTRICT","",""
"15","ENTROPY'S GEM","",""
"16","GRAY DISTRICT (DEAD DISTRICT)","",""
"17","MADHOUSE DISTRICT","",""
"18","GOATSWOOD","",""
