"ID","SOURCE","TRANSLATION","NOTES"
"1","Knight’s Close","",""
"2","Harmonium Street","",""
"3","The Curve","",""
"4","Portal Close","",""
"5","Park Lane","",""
"6","Solar Park","",""
"7","Arcadia Blvd.","",""
"8","Lady’s Row","",""
"9","Penate Square","",""
"10","Boulevard of the Fist","",""
"11","Palace Street","",""
"12","Lord’s Row","",""
"13","Aasimon Walk","",""
"14","Sword Lane","",""
"15","Glutton’s Gorge","",""
"16","Threefate Boulevard","",""
"17","Back Row","",""
"18","Deva Street","",""
"19","Razorvine on Hidleton","",""
"20","Hangman’s Court","",""
"21","Guvner’s Mile","",""
"22","Masquerade Mall","",""
"23","Dossy Street","",""
"24","Advocates’ Row","",""
"25","Prison Row","",""
"26","Courier’s Square","",""
"27","Rotten Row","",""
"28","Petitioner’s Square","",""
"29","Transformant’s Square","",""
"30","Bloodgem Road","",""
"31","Meat Market Square","",""
"32","Dust Drive","",""
"33","Salt Street","",""
"34","Cobbles","",""
"35","Abyssal Ave.","",""
"36","Berk’s Lane","",""
"37","Blood Boil","",""
"38","Doomguard Walk","",""
"39","Vacuum Lane","",""
"40","Armory Road","",""
"41","Newgate","",""
"42","Iron Ave.","",""
"43","Bellows Street","",""
"44","Tanner’s Lane","",""
"45","Clinkers Row","",""
"46","Gray Steam Path","",""
"47","Ash Row","",""
"48","Smith Street","",""
"49","Ironmonger Street","",""
"50","Brandy Lane","","This lane is shown twice."
"51","Alehouse Row","",""
"52","Anvil’s Square","",""
"53","Forgotten Lane","",""
"54","Dis Road","",""
"55","Whitesmith Street","",""
"56","Red Street","",""
"57","Gear Run","",""
"58","Coalchewer’s Square","",""
"59","Ragmonger’s Lane","",""
"60","Athar’s Circle","",""
"61","Street of the Martyrs","",""
"62","Barmy Street","",""
"63","Astral Walk","",""
"64","Alley of Dangerous Angles","",""
"65","Ragpicker’s Square","",""
"66","Blackshade Lane","",""
"67","Scab Way","",""
"68","Alley of Lingering Sighs","",""
"69","Gramercy Street","",""
"70","Bedlam Run","",""
"71","Waterside","",""
"72","Radagast Street","",""
"73","Hiverunners’ Road","",""
"74","Depression","",""
