"ID","DESCRIPTION","TRANSLATION","NOTES"
"♀8","A smithy near the Prison, run by the aging Traban and his kin, a family of dwarves (and one adopted ogre) from Krynn who specialize in some of the fanciest plate mail this side of Arcadia.","","Traban’s Forge"
"♀11","Headquarters of the Fraternity of Order, where they try criminal cases as both judges and advocates.","","City Court"
"♀13","A ridiculously huge hall, the Palace is a neutral ground for the richest and most powerful of Sigil to meet in (enforced) peace. It’s run by Jeremo the Natterer, “The Lady’s Jester”, who is an <em>éminence grise</em> in Sigil’s civil government.","","Palace of the Jester"
"♀16","Headquarters of the Harmonium, who patrol Sigil’s streets looking for lawbreakers, fugitives, Indeps, and other ne’er-do-wells.","","City Barracks"
"♀17","A restaurant and tavern that resides underground, it’s a tiny slice of unexpectedly boisterous and messy life found nowhere else in The Lady’s Ward. Rumor has it the place includes a passage into the Catacombs where the dabus dwell.","","Twelve Factol’s Restaurant & Tavern"
"♀20","One of the more popular temples to a good power, favored by travelers and explorers. Supposedly houses a portal to Mount Olympus on Arborea.","","Temple of Hermes"
"♀22b","A tavern and inn that appeals to the high rollers of Sigil. Finest food and drink, accompanied by a few rooms where plenty of gambling takes place, including the eponymous Wheel. Rooms in the inn are pricey but some of the most secure for rent in the Cage.","","Fortune’s Wheel Gambling Hall"
"♀26","Run by the Mercykillers, who take in everyone judged guilty in the City Court and handle their punishments.","","Prison"
"♀27","Near the Prison, the Tower is run by the Mercykillers and houses the Wyrm, one of a special breed of wyvern. Its venom causes delirium and is used in truth potions, and&nbsp;the&nbsp;Red Death sometimes feed the condemned to the Wyrm.","","Tower of the Wyrm"
"♀32","Zivilyn, also known as&nbsp;the&nbsp;World Tree, Wise&nbsp;One, and the&nbsp;Tree of&nbsp;Life, represents the&nbsp;godly force of&nbsp;wisdom. He&nbsp;encourages the&nbsp;soul to&nbsp;grow by&nbsp;achieving enlightenment and&nbsp;wisdom. He&nbsp;promotes understanding and&nbsp;spiritual awareness.","","Temple of Zivilyn"
"♀38","Near the Armory, this inn caters to Upper Planar clientele and those with a delicate or refined sensibility. Named after its doorman, a tawny bariaur named Goldenmane who looks like he had a leonal great-grandparent.","","Golden Bariaur Inn"
"♀44","Home of the Doomguard, who manage the greatest concentration of magical weaponry in&nbsp;the city (and some say the planes). Right along the fuzzy border between The Lady’s Ward and the Lower Ward.","","Armory"
"♀50","The Temple stands in honor of all the Abyssal Lords, and houses the best-known and most reliable portal to the Abyss. It’s a dark, horrible place that’s tolerated because it can get things done, and discreetly. The current high priest is Noshteroth of the Umber Scales, who is guarded by a retinue of powerful tanar’ri.","","Temple of the Abyss"
"♀53","Baravar Cloakshadow is&nbsp;the&nbsp;gnomish deity of&nbsp;illusions, protection, and&nbsp;deception. He&nbsp;creates traps and&nbsp;illusions of&nbsp;stunning complexity and&nbsp;cunning.","","Temple of Baravar Cloakshadow"
"♀54","This city-sponcored facility is run by the dabus themselves, who spend most of&nbsp;their time making sure that clerks from faction libraries don’t walk off with valuable books or stuff the shelves with smuggled propaganda. The Great Library tries to assert its independence — a body won’t find much regarding the&nbsp;faction beliefs or organizations here.","","Great Library"
"♀57","The 250’ tall twisted and hollow structure was built atop a natural portal leading to the Elemental Plane of Air. Every hour a huge gust of wind erupts from the&nbsp;portal and blows through the holes, creating the painful wailing noise which earns the tower its name.","","Screaming Tower"
"M0","A grand plaza that is home to a sprawling, vibrant market that never closes, the Bazaar is also the home turf of the Free League. The Indeps and the rules of commerce make sure that the deals are fair and honest — well, mostly. Caveat emptor.","","The Great Bazaar"
"M4","Alchemist’s lab whose proprietor can identify nearly any liquid, magical or not.","","Wooly Cupgrass’ Laboratory"
"M9","A rigorously honest loan agency but with standards to match.","","Bronze Bezants Loanshop"
"M15","A popular restaurant with fine food and a casual atmosphere, and a bit of a story to tell by the owner, a former Cipher named Imel Brustur.","","Imel’s Happy Tongue Restaurant"
"M19","Studio run by a disgraced dabus, whose tattoos can come to life at the most opportune (or inopportune) moments.","","Fell’s Tattoo Parlour"
"M21","This store is in a tower with green marble walls. It is known as good place to buy portal keys and is run by Alluvius Ruskin, a tiefling, old and frail.","","Tivvum’s Antiquities"
"M23","A sprawling inn that doubles as tourist trap, anyone is welcome as long as they keep the peace and have money to spend. A variety of attractions and small specialty shops are built into the building, including a small theater and a display of exotic creatures’ skulls.","","Chirper’s Inn"
"M26","Beneath <em>Dits’ Books</em> on Copperman Way.","","Temple of Bane"
"G1","A bath house that serves clientele with unusual and unique needs or desires — including open lava pools, noxious oozes, and purest water untouched by any contaminant.","","Flame Pits Bathhouse"
"G3","Rechvad’s Persona Lavisicum is a place where customers could temporarily alter their personality in any way they choose.","","Rechvad’s Persona Lavisicum"
"G6","Talun Underfoot, a wealthy halfling from Oerth, commisioned an actual burrow to&nbsp;be&nbsp;dug for him in the artificial hill that was created from a few tons of real Oerthian soil.","","Talun Underfoot’s Burrow"
"G8","A potion shop run by the wizard Ensin who cuts corners to produce cheap, weak potions in mass quantities.","","Ensin’s Discount Elixirs"
"G10","A dive that serves nothing but cheap wheat ale.","","Yawning Rat Inn"
"G11","Run by the Transcendant Order, the Gymnasium is to health and relaxation as the Festhall is to entertainment. It also serves as the most neutral of neutral grounds in&nbsp;the&nbsp;city, where even aasimon and tanar’ri can meet in peace.","","Great Gymnasium"
"G17","A luxurious spa across the street from the Great Gymnasium, with a reputation unsurpassed outside the Upper Planes.","","The Other Place Spa"
