"ID","TITLE","TRANSLATION","NOTES"
"U1","Temple of Darkness","","Faction War [Adventure], p. 78."
"U2","Dim Home Commune","","Faction War [Adventure], p. 86."
"U3","Nowhere Safe House","","Faction War [Adventure], p. 88."
"U4","Trash Warrens","","Planescape: Torment [PC Game]"
"U5","Buried Village","","Planescape: Torment [PC Game]"
"U6","Weeping Stone Catacombs","","Planescape: Torment [PC Game]"
"U7","Warrens of Thought","","Planescape: Torment [PC Game]"
"U8","Dead Nations","","Planescape: Torment [PC Game]"
"U9","Drowned Nations","","Planescape: Torment [PC Game]"
"U10","Nameless One's Tomb","","Planescape: Torment [PC Game]"
"♀1","Zadara's Manor","","Uncaged: Faces of Sigil, p. 117."
"♀2","Liberty Hall Tavern","","The Factol's Manifesto, p. 96."
"♀3","Tussa's Greenhouse","","Uncaged: Faces of Sigil, p. 124."
"♀4","Square Bar","","The Factol's Manifesto, p. 116."
"♀5","Plague Victims' Monument","","In the Cage: A Guide to Sigil, p. 8."
"♀6","Nontegue Manor","","Faction War [Adventure], p. 85."
"♀7","Tripicus' Study","","Uncaged: Faces of Sigil, p. 102."
"♀8","Traban's Forge","","In the Cage: A Guide to Sigil, p. 45.
Planescape Campaign Setting [Boxed set] — Sigil and Beyond, p. 80."
"♀9","Interplanar Importers Merchant House & Restaurant","","The Factol's Manifesto, p. 115."
"♀10","Untra's Arcana","","Harbinger House [Adventure], p. 26."
"♀11","City Court","","The Factol's Manifesto, p. 71.
In the Cage: A Guide to Sigil, p. 34.
Planescape Campaign Setting [Boxed set] — Sigil and Beyond, p. 80."
"♀12","Singing Fountain","","Uncaged: Faces of Sigil, p. 12."
"♀13","Palace of the Jester","","In the Cage: A Guide to Sigil, p. 40."
"♀14","Vlrc's Clocktower","","Dead Gods [Adventure], p. 51."
"♀15","Dusty Wig Boarding House","","Uncaged: Faces of Sigil, p. 14."
"♀16","City Barracks","","The Factol's Manifesto, p. 92.
In the Cage: A Guide to Sigil, p. 32.
Planescape Campaign Setting [Boxed set] — Sigil and Beyond, p. 80."
"♀17","Twelve Factol's Restaurant & Tavern","","In the Cage: A Guide to Sigil, p. 32."
"♀18","Temple of the Lords of the Nine","","In the Cage: A Guide to Sigil, p. 30."
"♀19","Temple of Zeus","","In the Cage: A Guide to Sigil, p. 30."
"♀20","Temple of Hermes","","In the Cage: A Guide to Sigil, p. 44."
"♀21","Temple of Gruumsh","","In the Cage: A Guide to Sigil, p. 30."
"♀22","Azure Iris Boarding House","","Uncaged: Faces of Sigil, p. 108.
In the Cage: A Guide to Sigil, p. 39."
"♀22","Fortune's Wheel Gambling Hall","","In the Cage: A Guide to Sigil, p. 36."
"♀23","Temple of Io","","In the Cage: A Guide to Sigil, p. 30."
"♀24","Penbrum's Parchments and Papers Warehouse","","Harbinger House [Adventure], p. 25."
"♀25","Geldab's Bakery","","Harbinger House [Adventure], p. 27.
The Planeswalker's Handbook, p. 10."
"♀26","Prison","","The Factol's Manifesto, p. 103.
In the Cage: A Guide to Sigil, p. 41.
Planescape Campaign Setting [Boxed set] — Sigil and Beyond, p. 79."
"♀27","Tower of the Wyrm","","In the Cage: A Guide to Sigil, p. 44."
"♀28","Petitioner's Square","","In the Cage: A Guide to Sigil, p. 21."
"♀29","Temple of Garl Glittergold","","In the Cage: A Guide to Sigil, p. 30."
"♀30","Temple of Diancastra","","In the Cage: A Guide to Sigil, p. 30."
"♀31","Temple of Maglubiyet","","In the Cage: A Guide to Sigil, p. 30."
"♀32","Temple of Zivilyn","","In the Cage: A Guide to Sigil, p. 30."
"♀33","Temple of Primus","","In the Cage: A Guide to Sigil, p. 30."
"♀34","Temple of Apollo","","Faction War [Adventure], p. 10."
"♀35","Temple of Diancecht","","Faction War [Adventure], p. 10."
"♀36","Statue of Bigby","","In the Cage: A Guide to Sigil, p. 39."
"♀37","Temple of Frigga","","Faction War [Adventure], p. 10."
"♀38","Golden Bariaur Inn","","In the Cage: A Guide to Sigil, p. 39.
Planescape Campaign Setting [Boxed set] — Sigil and Beyond, p. 78."
"♀39","Temple of Pelor","","Faction War [Adventure], p. 10."
